lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Campus Pond	3	10/22/2013	295	2013	7.2786	11.5476	0	1	29.7347	33.8335	30.0405	4.269	4.0988	0.305800000000001	0.925392797892066	3.95050185420123
Campus Pond	8	10/22/2013	295	2013	7.2767	11.8332	0	2	26.6492	31.0007	27.0132	4.5565	4.3515	0.364000000000001	0.916350683672297	4.17535189015282
Campus Pond	15	10/22/2013	295	2013	7.2325	11.6445	0	3	28.0725	32.4264	28.4316	4.412	4.3539	0.359099999999998	0.917522221456626	4.04810804106663
Campus Pond	33	10/22/2013	295	2013	7.2359	11.8288	0	4	27.4836	31.9415	27.9132	4.5929	4.4579	0.429600000000001	0.903631754862155	4.15029028690639
Campus Pond	48	10/22/2013	295	2013	7.2467	11.7907	0	5	30.3772	34.6765	30.7363	4.544	4.2993	0.359100000000002	0.916474774963366	4.16446137743353
Campus Pond	9	10/25/2013	298	2013	7.1055	10.8298	3	6	31.5117	34.9041	31.7471	3.7243	3.3924	0.235399999999998	0.930609597924773	3.46586932555123
Campus Pond	22	10/25/2013	298	2013	7.4814	10.6154	3	7	28.196	31.5648	28.452	3.134	3.3688	0.256	0.924008549038233	2.89584279268582
Campus Pond	35	10/25/2013	298	2013	7.3065	10.818	3	8	28.9648	32.5073	29.174	3.5115	3.5425	0.209199999999999	0.940945659844743	3.30413068454481
Campus Pond	43	10/25/2013	298	2013	7.1285	10.9302	3	9	27.0787	30.6123	27.367	3.8017	3.5336	0.2883	0.918411817976002	3.49152620839937
Campus Pond	67	10/25/2013	298	2013	7.0545	11.0964	3	10	29.747	33.5694	30.057	4.0419	3.8224	0.309999999999999	0.918899120971118	3.71409835705316
Campus Pond	17	10/29/2013	302	2013	7.2183	10.4394	7	11	26.5913	29.9408	26.8624	3.2211	3.3495	0.271100000000001	0.919062546648753	2.9603923690103
Campus Pond	26	10/29/2013	302	2013	7.3317	10.2217	7	12	28.1219	31.1523	28.3562	2.89	3.0304	0.234300000000001	0.922683474128828	2.66655524023231
Campus Pond	38	10/29/2013	302	2013	7.2525	10.4962	7	13	29.7255	33.2091	29.9811	3.2437	3.4836	0.255600000000001	0.926627626593179	3.00570203238029
Campus Pond	51	10/29/2013	302	2013	7.2798	10.5647	7	14	28.2156	31.661	28.4619	3.2849	3.4454	0.246300000000002	0.928513380159052	3.05007360248447
Campus Pond	55	10/29/2013	302	2013	7.3236	10.7955	7	15	26.9885	30.6401	27.2992	3.4719	3.6516	0.310700000000001	0.914914010296856	3.17648995234966
Campus Pond	5	11/5/2013	309	2013	7.3471	10.702	15	1	29.7364	33.1168	29.9448	3.3549	3.3804	0.208400000000001	0.938350491066146	3.14807206247781
