bod,CPOM,nutrient,temp,DOpre,DOpost,DO.T0,dDO,SOD
3,no,no,25.3,0.216057675632945,0.182521758605221,0.224262831604907,0.00834821459993722,0.638893974484992
5,no,no,25.3,0.207485759921914,0.161363884706884,0.219248260913954,0.011576875241414,0.902094174655634
9,no,no,25.3,0.212108854946327,0.15590201010896,0.224324799589237,0.0136845578960555,1.08607602349647
12,yes,no,25.3,0.177321340004791,0.120076391343055,0.201602075262437,0.0163051367838764,1.30371562770867
6,yes,no,25.3,0.198103702083344,0.129809073730954,0.21375975707839,0.0167901366694872,1.39995580901783
1,yes,no,25.3,0.236895095021366,0.140921616873315,0.236452721947133,0.0191062210147636,1.60556479115661
13,yes,no,25.3,0.209103913106663,0.128741883279715,0.220194880527032,0.0182905994494634,1.5491755603724
8,no,no,25.3,0.224151457740169,0.181621654850665,0.228997694137633,0.00947520785739347,0.815422362942639
7,no,yes,25.3,0.227851302768303,0.176001804564295,0.231162103479092,0.0110320597829594,0.97686479778271
4,yes,yes,25.3,0.201708255219778,0.120626231836235,0.215868420663204,0.0190484377653938,1.71504541705227
16,yes,yes,25.3,0.191130822696051,0.126901755872643,0.209680622636824,0.0165557733528361,1.50324818579021
10,yes,yes,25.3,0.186651555786483,0.0910448695320414,0.207060251494727,0.0232030763925371,2.09792734109738
11,yes,yes,25.3,0.223670165495517,0.13110398043993,0.228716138174512,0.0195224315469164,1.78776845667733
15,no,yes,25.3,0.234865094711324,0.188852170968304,0.235265171765759,0.00928260015949092,0.864838524176172
2,no,yes,25.3,0.224300245040583,0.180107547970554,0.229084734708375,0.00979543734756434,0.924679422362901
14,no,yes,25.3,0.210150014778244,0.16795678601071,0.222732784082015,0.010955199614261,1.05270976434282
